Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","17","Bermuda","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2489","F","FAO estimate",""
"FS","Suite of Food Security Indicators","18","Bhutan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2319","F","FAO estimate",""
"FS","Suite of Food Security Indicators","18","Bhutan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2339","F","FAO estimate",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2243","F","FAO estimate",""
"FS","Suite of Food Security Indicators","19","Bolivia (Plurinational State of)","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2260","F","FAO estimate",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2512","F","FAO estimate",""
"FS","Suite of Food Security Indicators","80","Bosnia and Herzegovina","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2508","F","FAO estimate",""
"FS","Suite of Food Security Indicators","20","Botswana","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2308","F","FAO estimate",""
"FS","Suite of Food Security Indicators","20","Botswana","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2321","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2443","F","FAO estimate",""
"FS","Suite of Food Security Indicators","21","Brazil","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2447","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2396","F","FAO estimate",""
"FS","Suite of Food Security Indicators","26","Brunei Darussalam","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2402","F","FAO estimate",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2493","F","FAO estimate",""
"FS","Suite of Food Security Indicators","27","Bulgaria","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2489","F","FAO estimate",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2188","F","FAO estimate",""
"FS","Suite of Food Security Indicators","233","Burkina Faso","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2204","F","FAO estimate",""
"FS","Suite of Food Security Indicators","29","Burundi","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2101","F","FAO estimate",""
"FS","Suite of Food Security Indicators","29","Burundi","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2106","F","FAO estimate",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2383","F","FAO estimate",""
"FS","Suite of Food Security Indicators","35","Cabo Verde","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2396","F","FAO estimate",""
"FS","Suite of Food Security Indicators","115","Cambodia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2260","F","FAO estimate",""
"FS","Suite of Food Security Indicators","115","Cambodia","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2266","F","FAO estimate",""
"FS","Suite of Food Security Indicators","32","Cameroon","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2213","F","FAO estimate",""
"FS","Suite of Food Security Indicators","32","Cameroon","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2240","F","FAO estimate",""
"FS","Suite of Food Security Indicators","33","Canada","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2507","F","FAO estimate",""
"FS","Suite of Food Security Indicators","33","Canada","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2502","F","FAO estimate",""
"FS","Suite of Food Security Indicators","37","Central African Republic","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2156","F","FAO estimate",""
"FS","Suite of Food Security Indicators","37","Central African Republic","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2174","F","FAO estimate",""
"FS","Suite of Food Security Indicators","39","Chad","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2157","F","FAO estimate",""
"FS","Suite of Food Security Indicators","39","Chad","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2173","F","FAO estimate",""
"FS","Suite of Food Security Indicators","40","Chile","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2430","F","FAO estimate",""
"FS","Suite of Food Security Indicators","40","Chile","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2438","F","FAO estimate",""
"FS","Suite of Food Security Indicators","351","China","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2449","F","FAO estimate",""
"FS","Suite of Food Security Indicators","351","China","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2442","F","FAO estimate",""
"FS","Suite of Food Security Indicators","96","China, Hong Kong SAR","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/capita/day","2472","F","FAO estimate",""
"FS","Suite of Food Security Indicators","96","China, Hong Kong SAR","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/capita/day","2439","F","FAO estimate",""
